"Field","ID","Type (Type)","default","en-us","ar-sa","bg-bg","zh-cn","zh-tw","hr-hr","cs-cz","da-dk","nl-nl","fi-fi","fr-fr","de-de","el-gr","he-il","hu-hu","id-id","it-it","ja-jp","ko-kr","lv-lv","lt-lt","ms-my","nb-no","fa-ir","pl-pl","pt-br","pt-pt","ro-ro","ru-ru","sr-latn-rs","sk-sk","sl-si","es-es","sv-se","th-th","tr-tr","uk-ua","vi-vn"
"Description","2","Text","","Rufus is a utility that helps format and create bootable USB flash drives, such as USB keys/pendrives, memory sticks, etc.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","برنامج Rufus هو أداة تساعد في تنسيق وإنشاء أقراص الإقلاع عن طريق USB، مثل مفاتيح USB، بطاقات الذاكرة، وغيرها.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus е програма, с чиято помощ лесно можете да форматирате и създавате зареждащи USB Keys/Pendrives дискове, карти с памет и др.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus 是一个帮助格式化和创建可启动USB闪存驱动器的工具，如USB钥匙/软盘、记忆棒等。
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus 是個能格式化並製作可開機 USB 快閃磁碟機（USB 隨身碟、Memory Stick 等等）的工具。
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus je aplikacija koja olakšava formatiranje i stvaranje USB pokretačkih jedinica.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Nástroj Rufus nabízí snadnou tvorbu a formátování bootovacích USB disků: USB klíčenek, paměťových karet,...
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus er et værktøj, der hjælper med at formatere og skabe startbare USB-flashdrev, såsom USB-nøgler/USB-pinde, USB-stik, osv.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus is een programma dat helpt bij het formatteren en aanmaken van opstartbare USB-flash-drives, zoals USB-sticks, USB-hd's,...
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus on ohjelma, joka auttaa alustamaan ja luomaan boottaavia USB-laitteita, kuten esimerkiksi USB-avaimia, muistitikkuja jne.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus est un utilitaire permettant de formater et de créer des média USB amorçables, tels que clés USB, mémoire flash, etc.
• Site officiel : https://rufus.ie
• Code source: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus ist ein Werkzeug, welches dabei hilft, bootfähige USB-Laufwerke zu erstellen, wie beispielweise USB-Keys, Speichersticks usw.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Το Rufus είναι ένα πρόγραμμα που σας βοηθά με τη διαμόρφωση και τη δημιουργία USB με δυνατότητα εκκίνησης, όπως USB keys /pendrives, κάρτες μνήμης, κτλ.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus הוא כלי המסייע באתחול ויצירת כונני הבזק מסוג USB הניתנים לאתחול, כמו ""דיסק און קי, כרטיסי זיכרון וכו׳.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","A Rufus egy segédprogram, amellyel indítható USB flash meghajtókat formázhat és készíthet, például USB kulcsokat/pendrive-okat, memóriakártyákat, stb.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus adalah alat yang membantu untuk memformat dan membuat perangkat USB flash menjadi bootable, seperti flashdisk, kartu memori, dll.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus è un programma che ti aiuta a formattare e creare una unità flash USB avviabile, come una chiavetta/penna/unità USB, memory stick, ecc.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus (ルーファス) とは、起動可能なUSBフラッシュドライブ（USBメモリなど）を作成したり、フォーマットをするためのソフトウェアです。
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus는 USB 메모리 및 플래시 드라이브를 포맷하고 부팅할 수 있도록 만드는 도구입니다.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus ir instruments ar kura palīdzību var formatēt un izveidot operētājsistēmas ielādes ierīci uz tādiem nesējiem, kā USB pieslēguma zibatmiņas, atmiņas kartes u.c.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus programa leidžia suženklinti ir sukurti sistemų paleidimo laikmenas, kaip pvz. USB atmintukus, atminties korteles ir pan.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus adalah utiliti yang membantu memformat dan mencipta pemacu kilat USB boot, seperti pemacu pen/kekunci USB, kayu memori, dan lain-lain.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus er et verktøy som hjelper til med å formatere og lage oppstartbare USB-stasjoner, for eksempel USB-minnepinner, USB-harddisker, og lignende.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus ابزاری است که به فرمت کردن و ساختن فلش درایوهای USB مانند پن‌درایوهای ""یو اس بی و ... کمک می‌کند.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus to narzędzie pomagające formatować i tworzyć nośniki rozruchowe USB, takie jak dyski flash USB/pendrive, karty pamięci itp.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus é uma ferramenta que ajuda a formatar e criar flash drives USB bootaveis, como pendrives, USBkeys, cartões de memória e etc.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus é um utilitário que ajuda a formatar e a criar unidades USB inicializáveis, tais como dispositivos USB/pendrives, cartões de memória, etc.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus este un utilitar care ajută la formatarea și crearea de drive-uri USB bootabile.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus - это утилита, которая помогает форматировать и создавать загрузочные Flash/Pen/Key диски, карты памяти и т.д.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus je alat koji pomaže da napravite butabilne USB fleš diskove, kao što su USB ključevi/pendrajvovi, memorijski stikovi, itd.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus je utilita, ktorá pomôže naformátovať a vytvoriť bootovacie jednotky USB Flash, ako sú napr. USB kľúče, pamäťové karty, atď.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus je program za formatiranje in ustvarjanje zagonskih naprav USB.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus es una utilidad que le ayuda a formatear y crear soportes USB de arranque, como «pendrives», tarjetas de memoria, etcétera.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus är ett program som hjälper dig formatera och skapa startbara USB-diskar, så som USB-minnen, minneskort, etc.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufusคือโปรแกรมที่ช่วยฟอร์แมทและสร้างUSBแฟลชไดรฟ์ที่สามารถบูทได้ เช่นคีย์ USB / pendrives, Memory Sticks, ฯลฯ
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus, USB anahtar/bellekler, hafıza kartları vb. gibi USB sürücüleri biçimlendirmeye ve önyüklemeli hale getirmeye yardımcı olan bir araçtır.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus це утиліта, яка допомагає форматувати та створювати завантажувальні Flash/Pen/Key диски, картки пам'яті, тощо.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt","Rufus là một tiện ích giúp định dạng và tạo khả năng khởi động cho USB, chẳng hạn như thẻ USB/đĩa di động, thẻ nhớ, vv.
• Official site: https://rufus.ie
• Source Code: https://github.com/pbatard/rufus
• ChangeLog: https://github.com/pbatard/rufus/blob/master/ChangeLog.txt"
"ReleaseNotes","3","Text","• Allow the provision of an arbitrary local account username in the Windows User Experience dialog
• Improve Windows version reporting from ISO/.wim
• Update UEFI:NTFS' NTFS drivers to v1.4 and exFAT drivers to v1.9
• Switch to remote download for nonstandard GRUB (Fedora 37, openSUSE Live, GeckoLinux)
• Fix UEFI:NTFS partition not being set in MBR mode for ISOs with a >4GB file (UwUntu)
• Fix GRUB support for Arch and derivatives, when a non FAT compliant label is used
• Fix incorrect detection of GRUB with nonstandard prefixes
• Fix tab order not working on the Windows User Experience dialog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Title","4","Text","Rufus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShortTitle","5","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SortTitle","6","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VoiceTitle","7","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShortDescription","8","Text","","Rufus - The Reliable USB Formatting Utility","Rufus - أداة فرمتة الـ USB جديرة بالثقة","Rufus - Надеждната USB форматираща програма","Rufus - 可靠的 USB 格式化工具","Rufus - 快速可靠的 USB 格式化工具","Rufus - Pouzdan alat za formatiranje USB-a","Rufus - Spolehlivý program pro formátování USB","Rufus - Det pålidelige USB-formateringsværktøj","Rufus - de betrouwbare USB-formatteertool","Rufus - Luotettava USB-alustusohjelma","Rufus - L'utilitaire de formatage USB fiable","Rufus - Das zuverlässige USB-Formatierungstool","Rufus - Μία αξιόπιστη εφαρμογή διαμόρφωσης USB","Rufus - הכלי לאתחול USB האמין ביותר","Rufus - A megbízható USB-formázó segédprogram","Rufus - Utilitas Pemformatan USB yang Handal","Rufus - Utility affidabile per la formattazione di unità USB","Rufus - 信頼性の高い USB フォーマット ユーティリティ","Rufus - 신뢰할 수 있는 USB 포맷 유틸리티","Rufus - uzticama un vienkārša USB formatēšanas utilīta","Rufus - patikima USB formatavimo priemonė","Rufus - Utiliti pemformatan USB yang dipercayai","Rufus - Det pålitelige USB-formateringsprogrammet","Rufus، ابزاری کاربردی و قابل‌اطمینان برای فرمت کردن درایوهای USB","Rufus - niezawodne narzędzie do formatowania USB","Rufus - O Utilitário de Formatação USB Confiável","Rufus - O utilitário de confiança para formatação USB","Rufus - Instrumentul de încredere pentru formatări USB","Rufus - Надежная утилита для форматирования USB","Rufus - Pouzdan Alat Za Formatiranje USB diska","Rufus - Spoľahlivý program pre formátovanie USB","Rufus - zanesljivi pripomoček za USB formatiranje","Rufus - La herramienta de formateo de USBs en la que puedes confiar","Rufus - Det pålitliga verktyget för USB-formatering","Rufus - ยูทิลิตี้การฟอร์แมต USB ที่เชื่อถือได้","Rufus - Güvenilir USB Biçimlendirme Programı","Rufus - надійна утиліта для форматування USB-дисків","Rufus - Tiện ích Định dạng USB Đáng tin cậy"
"DevStudio","9","Text","Pete Batard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CopyrightTrademarkInformation","12","Text","© 2011-2023 Pete Batard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AdditionalLicenseTerms","13","Text","https://www.gnu.org/licenses/gpl-3.0.html","This application is licensed under the terms of the GNU Public License (GPL) version 3.
See https://www.gnu.org/licenses/gpl-3.0.en.html for details.","","","","","","","","","","Cette application est fournie sous les termes de la Licence publique générale GNU (GPL) version 3.
Veuillez consulter https://www.gnu.org/licenses/gpl-3.0.fr.html pour plus de details.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
